Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Personality,Stage_fear_No,Stage_fear_Yes,Drained_after_socializing_No,Drained_after_socializing_Yes
-0.06815359492768806,-0.06989749896781564,1.2653679211987647,1.5081930529595946,0.40660632345845393,0,1.0,0.0,1.0,0.0
1.3998663915012997,-1.4618166931647862,-1.4393289417400665,-1.5458422564856171,-0.27981320017175654,1,0.0,1.0,0.0,1.0
1.3998663915012997,-1.1138368946155435,-0.5377633207604561,-0.3712132913143818,-0.6230229619868618,1,0.0,1.0,0.0,1.0
-1.2425695840708781,0.6260620981306696,1.71615073168857,1.7431188459938418,1.4362356089037698,0,1.0,0.0,1.0,0.0
-0.3617575922134856,1.6700014937783976,0.36380230021915433,0.3335640877883594,0.40660632345845393,0,1.0,0.0,1.0,0.0
-0.9489655867850807,0.9740418966799123,0.8145851107089596,-0.13628749828013473,0.7498160852735591,0,1.0,0.0,1.0,0.0
-0.06815359492768806,1.6700014937783976,-0.08698051027065087,0.09863829475411233,1.0930258470886645,0,1.0,0.0,1.0,0.0
-0.6553615894992831,1.3220216952291548,0.36380230021915433,0.09863829475411233,1.4362356089037698,0,1.0,0.0,1.0,0.0
1.6934703887870972,-1.1138368946155435,-0.08698051027065087,-1.5458422564856171,-0.27981320017175654,1,0.0,1.0,0.0,1.0
-1.2425695840708781,1.3220216952291548,1.2653679211987647,1.5081930529595946,1.4362356089037698,0,1.0,0.0,1.0,0.0
-0.3617575922134856,1.6700014937783976,1.2653679211987647,1.9780446390280886,0.40660632345845393,0,1.0,0.0,1.0,0.0
1.6934703887870972,-0.41787729751705827,-0.9885461312502613,-0.6061390843486288,-1.309442485617072,1,0.0,1.0,0.0,1.0
-0.3617575922134856,0.6260620981306696,1.71615073168857,1.7431188459938418,2.12265513253398,0,1.0,0.0,1.0,0.0
-0.3617575922134856,0.6260620981306696,0.36380230021915433,0.8034156738568535,1.0930258470886645,0,1.0,0.0,1.0,0.0
0.519054399643907,-0.41787729751705827,-1.4393289417400665,-1.3109164634513701,-0.27981320017175654,1,0.0,1.0,0.0,1.0
-1.2425695840708781,-0.06989749896781564,0.36380230021915433,0.3335640877883594,1.4362356089037698,0,1.0,0.0,1.0,0.0
1.3998663915012997,-1.4618166931647862,-1.4393289417400665,-1.5458422564856171,-1.309442485617072,1,0.0,1.0,0.0,1.0
-0.9489655867850807,0.278082299581427,1.2653679211987647,0.8034156738568535,0.0633965616433487,0,1.0,0.0,1.0,0.0
